ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
125402,Efstathios Stratos Vasileiou,M,27.0,185.0,73.0,Greece,GRE,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Mens 110 metres Hurdles,NoMedal
44856,Stefan Hajduk,M,26.0,158.0,53.0,Poland,POL,1960 Summer,1960,Summer,Roma,Wrestling,Wrestling Mens Flyweight GrecoRoman,NoMedal
79042,Denis Mesples,M,49.0,174.0,69.0,France,FRA,2012 Summer,2012,Summer,London,Equestrianism,Equestrianism Mixed ThreeDay Event Team,NoMedal
29854,Anna Ivanovna Drabenya,F,24.0,153.0,46.0,Belarus,BLR,2012 Summer,2012,Summer,London,Athletics,Athletics Womens 20 kilometres Walk,NoMedal
104389,Henri Julius Reverony Saint Cyr,M,54.0,175.0,70.0,Sweden,SWE,1956 Summer,1956,Summer,Stockholm,Equestrianism,Equestrianism Mixed Dressage Team,Gold
80151,Alberto Minetti,M,23.0,181.0,69.0,Italy,ITA,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Mens 100 kilometres Team Time Trial,NoMedal
94954,Gonzalo Pineda Reyes,M,21.0,165.0,54.0,Mexico,MEX,2004 Summer,2004,Summer,Athina,Football,Football Mens Football,NoMedal
129890,Ute Wetzig,F,21.0,169.0,57.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Diving,Diving Womens Platform,NoMedal
32496,Ion Emilianov,M,31.0,202.0,165.0,Moldova,MDA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Mens Shot Put,NoMedal
65300,Andreas Kttel,M,22.0,181.0,62.0,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,Ski Jumping Mens Large Hill Individual,NoMedal
117808,Emma Tahapari,F,23.0,160.0,50.0,Indonesia,INA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Womens 200 metres,NoMedal
76590,Mitsuru Matsumura,M,22.0,167.0,59.0,Japan,JPN,1980 Winter,1980,Winter,Lake Placid,Figure Skating,Figure Skating Mens Singles,NoMedal
75743,Irene Martnez Mecha,F,14.0,160.0,32.0,Spain,ESP,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Womens Horse Vault,NoMedal
117696,Maki Tabata,F,31.0,162.0,55.0,Japan,JPN,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Womens Team Pursuit 6 laps,NoMedal
48668,John Frederick Keeling Hinde,M,23.0,175.0,70.0,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Mens Coxed Eights,NoMedal
118355,Yasushio Tanaka,M,30.0,180.0,80.0,Japan,JPN,1976 Winter,1976,Winter,Innsbruck,Ice Hockey,Ice Hockey Mens Ice Hockey,NoMedal
79836,Israel Militosyan,M,27.0,165.0,70.0,Armenia,ARM,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Mens Lightweight,NoMedal
119133,Marcus Temke,M,30.0,187.0,87.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,NoMedal
89378,Pablo Ordejn Dez,M,29.0,170.0,66.0,Spain,ESP,1960 Summer,1960,Summer,Roma,Fencing,Fencing Mens Sabre Team,NoMedal
